OBS_ID,YR,TRTMT,YR_TRTMT,ACMAME,AGREXA,AIRCAR,AMEALN,ANAARV,ANTODO,ARRELA,ASTER,BROJAP,CAMLEI,CAREX,CENERY,CERARV,DANCAL,DAUCAR,DIAARM,ELEOCHARIS,ELYGLA,EPIBRA,EPIDEN,EQUISETUM,ERIPHI,FRAVIR,GALDIV,GALTRI,HIERAD,HOLLAN,HYPANA,HYPPER,JUNBUF,JUNCUS,JUNENS,LEUVUL,LUPINUS,MYOLAX,NAVSQU,PLALAN,POAANN,POLYGO,PRUVUL,PTEAQU,RANORT,ROSGYM,RUBBIF,RUBLAC,RUBURS,RUMACE,RUMEX,SHEARV,SISIDA,STARIG,SYMSP.,TRIDUB,TRIHYA/DICCON,TRIPRA,VERPER,VERSCU,VERSER,VICSAT,VICTET,OXACOR,GRASS,NON_GRASS
C9_1,I,C,CI,0,0,0,0,0,50,10,0,0,80,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,70,2,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66,194
T1_1,I,T,TI,0,0,0,0,0,35,10,0,0,80,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,10,0,20,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,45,169
T11_1,I,T,TI,0,0,0,0,0,15,15,0,0,75,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0,30,126
T12_1,I,T,TI,0,10,0,0,0,40,0,0,0,70,0,0,0,0,70,0,0,0,0,0,0,0,4,0,0,11,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,50,172
T2_1,I,T,TI,0,0,0,0,0,35,30,0,0,80,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,16,0,5,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,65,140
T3_1,I,T,TI,0,0,0,0,0,20,15,0,0,65,0,0,0,0,4,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,11,0,6,0,2,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,156
T4_1,I,T,TI,0,0,0,0,12,0,4,0,0,50,0,1,0,0,35,1,0,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,35,0,10,168
T5_1,I,T,TI,0,0,0,0,2,10,4,0,0,72,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12,0,2,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,1,0,0,0,0,0,0,3,0,14,120
T6_1,I,T,TI,0,0,0,0,0,50,10,0,0,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,10,0,0,0,60,128
T7_1,I,T,TI,0,0,0,0,0,50,0,0,0,65,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,2,8,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,119
T8_1,I,T,TI,0,15,0,0,0,4,0,0,0,85,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,3,0,5,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,59,127
T9_1,I,T,TI,0,0,0,0,0,35,1,0,0,75,0,0,0,0,10,1,0,0,0,0,0,0,6,0,0,12,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,44,128
C11_2,II,C,CII,0,0,0,0,0,0,70,0,0,95,0,0,0,12,1,2,0,0,0,0,0,0,0,0,0,4,20,0,1,0,20,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,102,154
C12_2,II,C,CII,0,0,2,0,0,80,10,0,0,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,15,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,95,110
C2_2,II,C,CII,0,0,0,0,0,50,25,0,0,90,0,0,0,0,9,1,0,2,0,0,0,0,55,0,0,4,0,0,1,0,0,0,10,0,6,0,15,0,0,0,10,0,40,0,0,22,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,77,275
C3_2,II,C,CII,0,0,0,0,0,35,20,0,0,65,0,0,0,0,6,0,0,0,0,0,0,0,70,0,0,0,2,0,0,0,0,0,60,0,1,0,10,0,0,4,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,57,232
C4_2,II,C,CII,0,0,0,0,30,25,0,0,0,55,0,0,0,0,40,0,0,0,0,0,0,20,0,0,0,10,4,0,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,45,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,29,225
C5_2,II,C,CII,0,0,0,0,0,25,25,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,25,0,0,1,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,0,5,0,10,2,0,0,0,0,5,0,12,1,0,0,0,0,0,0,50,116
C6_2,II,C,CII,0,1,2,0,0,40,30,0,5,85,20,1,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78,154
C7_2,II,C,CII,0,3,2,0,1,35,0,0,0,60,1,3,3,0,18,2,0,0,0,0,0,2,0,0,0,18,0,0,0,1,0,0,38,0,3,1,0,1,0,0,30,0,0,0,0,40,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,41,230
C8_2,II,C,CII,0,0,0,0,0,50,40,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,4,5,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,10,5,0,0,0,30,0,0,0,0,0,5,0,105,181
C9_2,II,C,CII,0,15,0,0,0,15,40,0,0,80,40,0,0,8,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,15,5,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,15,0,78,212
T11_2,II,T,TII,0,0,0,0,0,40,30,0,0,85,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,135,131
T12_2,II,T,TII,2,5,0,0,0,60,0,0,0,55,0,0,0,0,65,25,0,0,0,0,0,0,0,0,0,15,18,0,2,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,209
T2_2,II,T,TII,0,0,0,0,0,80,50,0,0,85,0,0,0,0,6,5,0,0,0,0,0,0,25,0,0,0,15,0,0,0,0,0,15,0,3,0,4,0,0,0,45,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,145,202
T3_2,II,T,TII,0,0,0,0,0,18,25,0,0,55,0,0,0,0,7,15,0,0,0,0,0,0,80,0,0,7,0,0,0,0,0,0,35,0,0,0,0,0,0,20,20,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,246
T4_2,II,T,TII,0,0,0,0,30,20,2,0,0,70,0,0,0,0,33,1,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,22,190
T5_2,II,T,TII,0,0,0,0,0,50,2,0,20,85,0,0,0,0,7,2,0,0,0,0,0,0,2,0,0,12,2,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,20,80,0,1,0,0,0,2,0,0,0,0,0,0,0,0,74,251
T6_2,II,T,TII,0,0,2,0,0,60,7,0,20,85,0,0,0,0,10,15,0,0,0,0,0,0,1,0,0,10,10,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,90,0,5,0,0,0,0,1,0,5,0,0,0,0,0,99,228
T7_2,II,T,TII,0,0,0,0,2,40,0,0,0,60,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,7,0,2,0,0,4,0,0,0,0,0,0,0,20,45,0,5,0,0,0,0,0,0,0,0,0,0,5,0,44,169
T8_2,II,T,TII,0,0,0,0,0,80,10,0,0,90,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2,0,105,182
T9_2,II,T,TII,0,0,0,0,0,50,70,0,0,90,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,140,192
C11_3,III,C,CIII,0,0,0,0,0,70,0,0,0,40,10,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,73,104
C12_3,III,C,CIII,0,0,0,0,0,75,0,0,0,90,0,3,0,0,9,0,0,0,0,0,0,1,4,0,0,6,4,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,180
C2_3,III,C,CIII,0,0,0,0,0,60,7,0,0,45,0,3,0,0,3,0,0,0,0,0,0,0,50,0,0,3,0,0,0,0,0,0,20,0,2,0,10,0,0,3,45,0,50,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,67,270
C3_3,III,C,CIII,0,0,0,0,0,50,30,0,0,70,0,0,0,0,15,0,0,0,0,0,0,0,60,1,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,85,202
C4_3,III,C,CIII,0,0,0,0,5,30,0,0,0,55,0,8,0,0,35,3,0,0,0,0,0,3,0,10,0,0,10,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40,228
C5_3,III,C,CIII,0,4,0,0,0,75,18,0,0,55,0,1,0,0,20,0,0,0,0,0,0,0,60,0,0,15,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,0,0,0,35,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,97,215
C6_3,III,C,CIII,0,0,0,0,0,70,50,0,1,40,0,0,0,3,12,0,0,0,0,0,0,0,25,0,0,2,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,139,88
C7_3,III,C,CIII,0,10,0,0,0,45,0,0,0,85,0,1,0,0,30,1,0,0,0,0,0,25,3,7,0,0,0,0,1,0,0,0,65,2,5,0,0,0,0,0,9,0,1,0,0,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,292
C9_3,III,C,CIII,0,10,0,0,0,35,10,33,0,70,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,60,154
T11_3,III,T,TIII,0,0,0,0,0,40,5,0,0,60,2,0,0,0,0,0,30,0,4,0,5,0,0,0,0,0,8,3,0,0,30,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,5,0,0,10,0,0,0,0,0,0,0,53,166
T12_3,III,T,TIII,0,0,0,0,0,85,0,0,0,60,0,1,0,0,9,0,0,0,0,0,0,2,2,0,0,12,2,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,18,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,146
T2_3,III,T,TIII,0,0,0,0,0,65,25,0,0,60,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,97,167
T3_3,III,T,TIII,0,0,0,0,0,55,25,0,0,70,0,0,0,0,4,1,0,0,0,0,0,0,85,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,80,199
T4_3,III,T,TIII,0,0,0,0,2,15,5,0,0,55,0,6,0,0,70,0,0,0,0,0,0,15,2,3,0,5,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,232
T5_3,III,T,TIII,0,0,0,0,0,70,20,0,15,50,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,50,0,0,0,0,0,0,2,0,0,0,0,0,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,197
T6_3,III,T,TIII,0,0,0,0,0,55,5,0,4,50,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,115
T7_3,III,T,TIII,0,0,0,0,0,75,0,0,0,85,0,8,0,0,30,0,0,0,0,0,0,6,0,3,0,7,4,0,0,0,0,0,25,2,0,0,0,0,0,0,1,0,0,7,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,227
T9_3,III,T,TIII,0,0,0,0,0,70,10,2,0,40,6,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,86,103
