PLOT_ID,DATE,YEAR,MONTH,DAY,YR_POST_HARVEST,TREATMENT,PLOT_NUMBER,NUMBER_CAMAS,NUMBER_SCAPES,BROWSE,BARE_GROUND,ROCK,Notes,LVS1,LVS2,LVS3,LVS4,LVS5,LVS6,LVS7,LVS8,LVS9,LVS10,LVS11,LVS12,LVS13,LVS14,LVS15,LVS16,AVG_LVS,NUMBER_FL1,NUMBER_FL2,NUMBER_FL3,NUMBER_FL4,NUMBER_FL5,NUMBER_FL6,NUMBER_FL7,NUMBER_FL8,NUMBER_FL9,NUMBER_FL10,NUMBER_FL11,NUMBER_FL12,NUMBER_FL13,NUMBER_FL14,NUMBER_FL15,NUMBER_FL16,NUMBER_FL17,NUMBER_FL18,NUMBER_FL19,NUMBER_FL20,AVG_FL,RATIO_FL
C12,6/22/17,2017,6,22,3,C,12,105,19,3,0,0,,5,3,5,4,2,6,4,6,6,2,3,4,1,6,4,3,4,6,6,7,9,9,7,7,5,7,8,13,8,,,,,,,,,7.666666667,0.180952381
C4,6/22/17,2017,6,22,3,C,4,37,2,0,0,0,,7,6,6,1,5,7,6,4,6,5,2,2,5,6,6,7,5.0625,17,7,,,,,,,,,,,,,,,,,,,12,0.054054054
C9,6/22/17,2017,6,22,3,C,9,110,0,0,0,0,,4,2,4,5,3,5,2,2,4,2,4,5,5,2,2,4,3.4375,NA,,,,,,,,,,,,,,,,,,,,,0
C11,6/23/17,2017,6,22,3,C,11,45,1,0,0,0,,3,4,3,4,4,4,2,1,2,1,1,2,6,5,3,3,3,10,,,,,,,,,,,,,,,,,,,,10,0.022222222
T2,6/21/17,2017,6,21,3,T,2,65,3,0,0,0,,4,4,2,5,4,7,1,5,3,5,2,2,1,1,4,3,3.3125,6,9,7,,,,,,,,,,,,,,,,,,7.333333333,0.046153846
T3,6/21/17,2017,6,21,3,T,3,50,5,1,0,0,,3,6,2,5,6,6,2,1,5,2,1,2,4,3,1,4,3.3125,5,7,10,10,,,,,,,,,,,,,,,,,8,0.1
T3,6/21/17,2017,6,21,3,T,3,75,8,1,0,0,,2,3,4,4,4,2,4,2,3,2,3,2,3,2,2,5,2.9375,10,12,10,9,12,9,9,,,,,,,,,,,,,,10.14285714,0.106666667
T5,6/21/17,2017,6,21,3,T,5,74,6,2,0,0,,4,6,3,1,7,3,5,3,3,3,5,6,1,4,4,2,3.75,12,5,24,18,14,8,,,,,,,,,,,,,,,13.5,0.081081081
T7,6/21/17,2017,6,21,3,T,7,105,4,4,0,0,,4,1,5,7,6,6,5,5,5,1,2,4,4,2,2,6,4.0625,11,12,6,7,,,,,,,,,,,,,,,,,9,0.038095238
T12,6/22/17,2017,6,22,3,T,12,75,4,2,0,0,,4,2,6,3,4,2,1,5,3,2,6,2,2,2,4,4,3.25,8,8,9,4,,,,,,,,,,,,,,,,,7.25,0.053333333
T4,6/22/17,2017,6,22,3,T,4,50,1,0,0,0,,7,7,6,4,4,7,3,2,5,1,7,7,12,5,1,3,5.0625,11,,,,,,,,,,,,,,,,,,,,11,0.02
T9,6/22/17,2017,6,22,3,T,9,70,0,1,15,0,,3,2,4,2,3,4,6,4,3,1,6,2,3,3,4,5,3.4375,NA,,,,,,,,,,,,,,,,,,,,,0
T11,6/23/17,2017,6,22,3,T,11,90,1,2,0,0,,4,4,3,2,3,4,2,1,4,5,6,5,2,4,4,2,3.4375,13,,,,,,,,,,,,,,,,,,,,13,0.011111111
